AAAAA00000,,,mario.rossi@unibo.it,0000BB0000
BBBBB00000,,,mario.verdi@unibo.it,0000AA2323
QQYYU13426,,,mario.aranci@unibo.it,0000GHJKL3
8978HHJJKJ,,,mario.rossi@unibo.it,0000998ASQ
IOPSGH67HG,,,mario.rossi@unibo.it,0000BB1111
III89GHASV,,,mario.bianchi@unibo.it,0000BB0000
III816HASV,,,luca.rossi@unibo.it,0000BB0000
akk89GHASV,,,luca.viola@unibo.it,0000BB0000
dhkjhgkjh6,,,camilla.rossi@unibo.it,0000AA2323
qvjhuuuuuu,,,camilla.aranci@unibo.it,0000BB0000
AGHJHGF172,,,camilla.gialli@unibo.it,0000BB0000
NMNMNMNM78,,,camilla.bruni@unibo.it,0000998ASQ
HJKUY67688,,,camilla.grigi@unibo.it,0000BB0000
EQTWOS787V,,,paola.rossi@unibo.it,0000BB0000
BBZNXMCN78,,,paola.verdi@unibo.it,0000AA2323
162763GHGH,,,paola.aranci@unibo.it,0000BB0000
18903GHJJJ,,,paola.viola@unibo.it,0000998ASQ
1209090jkj,,,paola.gialli@unibo.it,0000BB0000
Dhjklakjsd,,,paola.bruni@unibo.it,0000998ASQ
173hjshdhd,,,paola.bianchi@unibo.it,0000AA2323
1919191nnn,,,paola.azzurri@unibo.it,0000998ASQ
829829ncmm,,,paola.grigi@unibo.it,0000BB0000
1231231231,,,mattia.gialli@unibo.it,0000998ASQ
123dsa2344,,,mattia.bruni@unibo.it,0000BB0000
Jhjhjh3637,,,mattia.bianchi@unibo.it,0000AA2323
2332dfffff,,,mattia.azzurri@unibo.it,0000BB0000
84748jjjjj,,,matilde.bianchi@unibo.it,0000BB0000
191918476n,,,matilde.azzurri@unibo.it,0000GHJKL3
Kkkk665758,,,giovanni.aranci@unibo.it,0000AA2323
AAAkhfh778,,,giovanni.viola@unibo.it,0000BB0000
LKGH37whsj,,,giovanni.gialli@unibo.it,0000GHJKL3
890NNhjl77,,,giovanni.bruni@unibo.it,0000AA2323
897073bcjb,,,giovanni.bianchi@unibo.it,0000GHJKL3
7777778787,,,giovanni.azzurri@unibo.it,0000998ASQ
Hjqpxni888,,,marco.rossi@unibo.it,0000GHJKL3
Sjjsjskdi8,,,marco.verdi@unibo.it,0000AA2323
AKJhdj77Hj,,,marco.aranci@unibo.it,0000BB0000
AHHSjjd778,,,marco.viola@unibo.it,0000BB0000
aghJJhjdks,,,luca.gialli@unibo.it,0000GHJKL3
6687hsHHHj,,,luca.bruni@unibo.it,0000AA2323
sfsfgg98HH,,,luca.bianchi@unibo.it,0000BB0000
shshHHYEO8,,,luca.azzurri@unibo.it,0000GHJKL3
GHhjhk1623,,,luca.rossi@unibo.it,0000998ASQ
JJKLKTIuwo,,,luca.verdi@unibo.it,0000BB0000
ooPOIU3733,,,luca.aranci@unibo.it,0000GHJKL3
jjslskKKi0,,,luca.viola@unibo.it,0000BB0000
28298susjJ,,,mattia.gialli@unibo.it,0000GHJKL3
290128HHjh,,,mattia.bruni@unibo.it,0000AA2323
29029HHJKJ,,,mattia.bianchi@unibo.it,0000GHJKL3
181829ahsH,,,mattia.azzurri@unibo.it,0000BB0000
80GHJqyeee,,,matilde.bianchi@unibo.it,0000998ASQ
99hhgZXCBb,,,matilde.azzurri@unibo.it,0000BB0000
10973HJhhh,,,camilla.rossi@unibo.it,0000AA2323
1111JKjsgs,,,camilla.verdi@unibo.it,0000BB0000
00019JKjja,,,camilla.aranci@unibo.it,0000AA2323
0927hhajhH,,,camilla.viola@unibo.it,0000998ASQ
