"apXbwftMTJ","Nuova restituzione","2021-04-30","Restituzione","73f7b9b558","anna.bianchi@unibo.it"
"wzkpsrRGZd","Nuova consegna","2021-04-28","Affidamento","89862ce8a5","anna.bianchi@unibo.it"
"iPmcdJWYDq","Restituiamo","2021-05-21","Restituzione","89862ce8a5","anna.bianchi@unibo.it"
"gc5ZGajfFy","Nuova consegna","2021-04-25","Affidamento","16a5dea9f9","antonio.rossi@unibo.it"
"wmeAPSc0pJ","Consegno io!","2021-04-29","Affidamento","efca8dece9","antonio.rossi@unibo.it"
"Mo8qgEaXIB","Blablabla","2021-04-25","Affidamento","c2f12343ec","antonio.rossi@unibo.it"
"NDvqRF0uj2","Nuova consegna","2021-04-26","Affidamento","c067ad7ac2","antonio.rossi@unibo.it"
"RE65YWsBxO","Nuova consegna","2021-04-27","Affidamento","9b2949d137","antonio.rossi@unibo.it"
"I10TqyvgEb","Nuova consegna","2021-04-26","Affidamento","8bbd2cf212","marco.bruni@unibo.it"
"WvE0bk3LZK","Nuova consegna","2021-04-30","Affidamento","7c8c765d32","marco.bruni@unibo.it"
"3D0b58tSTs","Consegno io!","2021-04-27","Affidamento","2c61ee105e","marco.bruni@unibo.it"
"pxCsfoiqbe","Restituisco!","2021-05-02","Restituzione","16a5dea9f9","antonio.aranci@unibo.it"
"Pjb6CT2xfD","Restituisco!","2021-05-03","Restituzione","efca8dece9","antonio.aranci@unibo.it"
"WqpPn7QlLX","Restituisco!","2021-05-05","Restituzione","0b07aa03a9","antonio.aranci@unibo.it"
"sx2CU49X7e","Restituisco!","2021-05-05","Restituzione","0b07aa03a9","antonio.aranci@unibo.it"
"I8Sqm6jLbT","Restituisco!","2021-05-05","Restituzione","c2f12343ec","antonio.aranci@unibo.it"
"VwZlzHA1kB","Restituisco!","2021-05-05","Restituzione","c067ad7ac2","antonio.aranci@unibo.it"
"Cox6MZeHPB","Restituisco!","2021-05-07","Restituzione","9b2949d137","antonio.aranci@unibo.it"
"8Br3dQHyex","Restituisco!","2021-05-07","Restituzione","8bbd2cf212","antonio.aranci@unibo.it"
"E7XpxAtgYB","Restituisco!","2021-05-07","Restituzione","7c8c765d32","antonio.aranci@unibo.it"
"p7gusBr3JQ","Restituisco!","2021-05-12","Restituzione","2c61ee105e","antonio.aranci@unibo.it"
"Nsvow6f4RJ","Nuova consegna","2021-05-01","Affidamento","282ed498b8","anna.azzurri@unibo.it"
"pRdOo6w8Q5","Nuova consegna","2021-05-01","Affidamento","3da072319e","anna.azzurri@unibo.it"
"06H7s12f3w","New consegna!","2021-04-27","Affidamento","0b07aa03a9","antonio.rossi@unibo.it"
"4ipzsnLv0c","Nuova consegna","2021-04-26","Affidamento","85a67688bb","anna.azzurri@unibo.it"
"8ZMfrlLVjS","Nuova consegna","2021-04-26","Affidamento","467fcc31ff","anna.azzurri@unibo.it"
"l41kqFnf0h","Nuova consegna","2021-04-26","Affidamento","8605549911","anna.azzurri@unibo.it"
"CGoh2rv5ef","Restituisco!","2021-04-30","Restituzione","8605549911","anna.azzurri@unibo.it"
"STFgDZWK8k","Restituisco!","2021-04-30","Restituzione","85a67688bb","anna.azzurri@unibo.it"
"Z0sfbgjhDx","Restituisco!","2021-04-30","Restituzione","467fcc31ff","anna.azzurri@unibo.it"
"xBlGv0FMwz","Nuova consegna","2021-04-25","Affidamento","2bb8040b8a","anna.azzurri@unibo.it"
"wIQUDpFGnL","Nuova consegna","2021-04-25","Affidamento","36294cb8a3","anna.azzurri@unibo.it"
"SX6VcK9MU3","Nuova consegna","2021-04-25","Affidamento","c356bc2b67","anna.azzurri@unibo.it"
"GUo3SeXFAt","Nuova consegna","2021-04-25","Affidamento","a823bedd86","anna.azzurri@unibo.it"
"aIsAzexUj4","Nuova consegna","2021-04-25","Affidamento","1c882b83a3","anna.azzurri@unibo.it"
"mnYb0uhJc9","Nuova consegna","2021-04-25","Affidamento","818155ce81","anna.azzurri@unibo.it"
