"8605549911","2021-04-30","2021-05-15","matilde.azzurri@unibo.it","495a0027c3"
"73f7b9b558","2021-04-30","2021-05-15","mario.rossi@unibo.it","8fff282dc8"
"282ed498b8","2021-05-01","2021-05-16","marco.aranci@unibo.it","2bc50b4011"
"85a67688bb","2021-04-30","2021-05-15","matilde.azzurri@unibo.it","2bc50b4011"
"89862ce8a5","2021-05-21","2021-06-05","mario.rossi@unibo.it","58069f349a"
"467fcc31ff","2021-04-30","2021-05-15","matilde.azzurri@unibo.it","58069f349a"
"3da072319e","2021-05-01","2021-05-16","marco.aranci@unibo.it","58069f349a"
"dfd80bb2c4","2021-05-22","2021-06-06","giovanni.viola@unibo.it","58069f349a"
"a5a3ed6b7e","2021-05-01","2021-05-16","marco.aranci@unibo.it","495a0027c3"
"4961ae0c22","2021-05-22","2021-06-06","giovanni.viola@unibo.it","2bc50b4011"
"16a5dea9f9","2021-05-02","2021-05-17","paola.viola@unibo.it","58069f349a"
"efca8dece9","2021-05-03","2021-05-18","paola.viola@unibo.it","8fff282dc8"
"c2f12343ec","2021-05-05","2021-05-20","paola.viola@unibo.it","b6ca33ce58"
"ba28cdb372","2021-05-01","2021-05-16","marco.aranci@unibo.it","b6ca33ce58"
"c067ad7ac2","2021-05-05","2021-05-20","paola.viola@unibo.it","495a0027c3"
"9b2949d137","2021-05-07","2021-05-22","paola.viola@unibo.it","9a049f741c"
"913e394d49","2021-05-01","2021-05-16","marco.aranci@unibo.it","013e489645"
"8bbd2cf212","2021-05-07","2021-05-22","paola.viola@unibo.it","b5e6cbe170"
"7c8c765d32","2021-05-07","2021-05-22","paola.viola@unibo.it","2bc50b4011"
"2c61ee105e","2021-05-12","2021-05-27","paola.viola@unibo.it","013e489645"
"01954ea8d8","2021-05-01","2021-05-16","marco.aranci@unibo.it","8fff282dc8"
"0b07aa03a9","2021-04-27","2021-05-12","paola.viola@unibo.it","cfd384e361"
"08897f0382","2021-05-01","2021-05-16","marco.aranci@unibo.it","b5e6cbe170"
"7f58943cbd","2021-05-01","2021-05-16","marco.aranci@unibo.it","cfd384e361"
"19b29b73ff","2021-05-01","2021-05-16","marco.aranci@unibo.it","9a049f741c"
"2bb8040b8a","2021-05-02","2021-05-17","luca.azzurri@unibo.it","2bc50b4011"
"36294cb8a3","2021-05-02","2021-05-17","luca.azzurri@unibo.it","58069f349a"
"c356bc2b67","2021-05-02","2021-05-17","luca.azzurri@unibo.it","495a0027c3"
"9adef83ec1","2021-04-27","2021-05-12","luca.bianchi@unibo.it","2bc50b4011"
"a823bedd86","2021-05-02","2021-05-17","luca.azzurri@unibo.it","b6ca33ce58"
"4bde8d39a9","2021-04-27","2021-05-12","luca.bianchi@unibo.it","58069f349a"
"2197dceb40","2021-04-27","2021-05-12","luca.bianchi@unibo.it","495a0027c3"
"d458a980d0","2021-05-20","2021-06-04","luca.rossi@unibo.it","2bc50b4011"
"1c882b83a3","2021-05-02","2021-05-17","luca.azzurri@unibo.it","013e489645"
"a49d3a0fc1","2021-05-20","2021-06-04","luca.rossi@unibo.it","58069f349a"
"7e5d75507b","2021-04-27","2021-05-12","luca.bianchi@unibo.it","b6ca33ce58"
"74e61b7804","2021-05-20","2021-06-04","luca.rossi@unibo.it","495a0027c3"
"a1db3338cb","2021-05-20","2021-06-04","luca.rossi@unibo.it","b6ca33ce58"
"e907da8f4e","2021-04-27","2021-05-12","luca.bianchi@unibo.it","013e489645"
"818155ce81","2021-05-02","2021-05-17","luca.azzurri@unibo.it","8fff282dc8"
"0960ea7c53","2021-04-27","2021-05-12","luca.bianchi@unibo.it","8fff282dc8"
"42133ccb87","2021-04-27","2021-05-12","luca.bianchi@unibo.it","b5e6cbe170"
"3ca4657132","2021-05-02","2021-05-17","luca.azzurri@unibo.it","b5e6cbe170"
"46959a2804","2021-04-27","2021-05-12","luca.bianchi@unibo.it","cfd384e361"
"6c6568719a","2021-04-27","2021-05-12","luca.bianchi@unibo.it","9a049f741c"
"9b27898e2a","2021-05-02","2021-05-17","luca.azzurri@unibo.it","cfd384e361"
"fa79ced459","2021-05-02","2021-05-17","luca.azzurri@unibo.it","9a049f741c"
