"7uuIy7IIo9","2021-04-26","10:00:00","11:00:00","camilla.aranci@unibo.it",20,"Biblioteca Universitaria di Bologna"
"d589a4bac9","2021-04-26","09:00:00","10:00:00","mario.rossi@unibo.it",20,"Biblioteca Universitaria di Bologna"
"96e05b8414","2021-04-26","11:00:00","12:00:00","mario.rossi@unibo.it",20,"Biblioteca Universitaria di Bologna"
"7ca6052e44","2021-04-29","11:00:00","12:00:00","mario.rossi@unibo.it",66,"Biblioteca Universitaria di Bologna"
"bcdfd98ee9","2021-04-29","09:00:00","10:00:00","mario.rossi@unibo.it",66,"Biblioteca Universitaria di Bologna"
"498adcfdca","2021-04-28","10:00:00","11:00:00","mario.rossi@unibo.it",10,"Biblioteca Giuridica Antonio Cicu. Sezione Centrale"
"13459bec95","2021-04-26","11:00:00","12:00:00","mario.rossi@unibo.it",12,"Biblioteca Giuridica Antonio Cicu. Sezione Centrale"
"dcae780d64","2021-04-30","11:00:00","12:00:00","mario.rossi@unibo.it",10,"Biblioteca di Agraria Gabriele Goidanich"
"a1352f825a","2021-05-14","11:00:00","12:00:00","mario.rossi@unibo.it",2,"Biblioteca di Chimica. Sezione di Chimica industriale"
"3e18da8e41","2021-04-26","12:00:00","13:00:00","paola.viola@unibo.it",20,"Biblioteca Universitaria di Bologna"
"4fa2c8a2a0","2021-05-22","10:00:00","11:00:00","paola.viola@unibo.it",14,"Biblioteca Universitaria di Bologna"
"e2a03d0b80","2021-04-29","10:00:00","11:00:00","paola.viola@unibo.it",62,"Biblioteca di Chimica. Sezione Giacomo Ciamician"
"79c7e1d72a","2021-04-29","11:00:00","12:00:00","paola.viola@unibo.it",62,"Biblioteca di Chimica. Sezione Giacomo Ciamician"
"7d62db9f52","2021-05-22","18:00:00","19:00:00","paola.viola@unibo.it",21,"Biblioteca di discipline umanistiche"
"101d5ca429","2021-04-28","10:00:00","11:00:00","mario.bianchi@unibo.it",17,"Biblioteca Universitaria di Bologna"
"9f6591e188","2021-05-21","10:00:00","11:00:00","mario.bianchi@unibo.it",11,"Biblioteca Universitaria di Bologna"
