"IZ2b18FGBM","Informazione","Bla bla bla","2021-04-24","elena.bianchi@unibo.it","mario.rossi@unibo.it"
"iPaH3JDBfy","Informazione","Bla bla bla","2021-04-24","elena.bianchi@unibo.it","paola.viola@unibo.it"
"7Q6mMivSwL","Saluto","Bla bla bla","2021-04-24","elena.bianchi@unibo.it","matilde.bianchi@unibo.it"
"sc4lEiQqfb","Saluto","Bla bla bla","2021-04-24","elena.bianchi@unibo.it","mario.bruni@unibo.it"
"yY3Dqfpc8g","Saluto","Bla bla bla","2021-04-24","elena.bianchi@unibo.it","mario.bianchi@unibo.it"
"4RPQi6oFDk","Saluto","Bla bla bla","2021-04-24","elena.bianchi@unibo.it","mario.bianchi@unibo.it"
"LSTvwPunQj","Saluto","Bla bla bla","2021-04-24","elena.bianchi@unibo.it","luca.viola@unibo.it"
"ZK8BizmqAT","Nuovo libro","Bla bla bla","2021-04-24","anna.gialli@unibo.it","mario.rossi@unibo.it"
"duRISBtqJk","Nuovo libro","Bla bla bla","2021-04-24","anna.gialli@unibo.it","mario.bianchi@unibo.it"
"Squio8YL7V","Nuovo libro","Bla bla bla","2021-04-24","anna.gialli@unibo.it","luca.viola@unibo.it"
"j9nB3NiOSM","Nuovo libro","Bla bla bla","2021-04-24","anna.gialli@unibo.it","luca.verdi@unibo.it"
